method,nms_iou,stride,threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,elapsed_sec
CCOEFF_NORMED,0.8,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,32.512
CCOEFF_NORMED,0.8,3,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.313
CCOEFF_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.116
CCORR_NORMED,0.2,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.228
CCORR_NORMED,0.4,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.863
CCORR_NORMED,0.6,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.992
CCORR_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.317
SQDIFF_NORMED,0.2,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,21.574
SQDIFF_NORMED,0.2,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.748
SQDIFF_NORMED,0.2,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.575
SQDIFF_NORMED,0.4,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,51.923
SQDIFF_NORMED,0.4,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,25.121
SQDIFF_NORMED,0.4,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,9.156
SQDIFF_NORMED,0.6,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,22.89
SQDIFF_NORMED,0.6,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,24.298
SQDIFF_NORMED,0.6,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,17.089
SQDIFF_NORMED,0.8,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,48.41
SQDIFF_NORMED,0.8,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,12.115
SQDIFF_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,16.842
CCOEFF_NORMED,0.2,3,0.5,0,1,12,29,0.6904761904761905,0.0,0.0,0.0,8.622
SQDIFF_NORMED,0.2,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,8.949
SQDIFF_NORMED,0.4,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,17.065
SQDIFF_NORMED,0.6,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,20.591
SQDIFF_NORMED,0.8,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,10.346
CCORR_NORMED,0.2,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,10.347
CCORR_NORMED,0.4,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,9.283
CCORR_NORMED,0.6,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,10.966
CCORR_NORMED,0.8,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,8.308
